NCK 20130627
-------------------------------------------------------------------------------------------------------------------------
| time  | f-min |  foE  | foEs  | fbEs  | fminF | foF1  | foF2  |  fxI  |  h'E  | h'Es  | tpEs  |  h'F  | h'F2  | M3000 |
-------------------------------------------------------------------------------------------------------------------------
| 00:00 |  1.63 |       |       |       |       |       |  6.42 |       |       |       |       |  263  |       |       |
| 00:30 |  1.56 |       |       |       |       |       |  6.29 |       |       |       |       |  263  |       |       |
| 01:00 |  1.59 |       |       |       |       |       |  6.15 |       |       |       |       |  250  |       |       |
| 01:30 |  1.59 |       |       |       |       |       |  5.73 |       |       |       |       |  226  |       |       |
| 02:00 |  1.61 |       |       |       |       |       |  5.68 |       |       |       |       |  229  |       |       |
| 02:30 |  1.61 |       |       |       |       |       |  5.57 |       |       |       |       |  240  |       |       |
| 03:00 |  1.59 |       |       |       |       |       |  5.51 |       |       |       |       |  255  |       |       |
| 03:30 |  1.59 |  1.73 |  1.98 |  1.99 |       |  3.44 |  5.53 |       |  114  |  117  |       |  240  |  294  |       |
| 04:00 |  1.41 |  2.09 |  2.25 |  2.33 |       |  3.77 |  5.88 |       |  108  |  135  |       |  234  |  285  |       |
| 04:30 |  1.51 |  2.34 |  2.69 |  2.63 |       |  3.96 |  6.38 |       |  105  |  120  |       |  238  |  278  |       |
| 05:00 |  1.46 |  2.61 |  3.06 |  3.00 |       |  4.11 |  6.75 |       |   97  |  114  |       |  216  |  270  |       |
| 05:30 |  1.46 |  2.77 |  3.41 |  3.07 |       |  4.33 |  6.68 |       |   96  |  111  |       |  213  |  270  |       |
| 06:00 |  1.38 |  2.90 |  3.41 |  3.55 |       |  4.43 |  6.14 |       |   94  |  109  |       |  213  |  266  |       |
| 06:30 |  1.39 |  3.08 |  4.02 |  3.71 |       |  4.50 |  6.74 |       |   90  |  106  |       |  203  |  337  |       |
| 07:00 |  1.38 |  3.23 |  3.69 |  3.67 |       |  4.76 |  7.22 |       |   91  |  111  |       |  205  |  288  |       |
| 07:30 |  1.39 |  3.25 |  3.67 |  3.65 |       |  4.82 |  7.25 |       |   90  |  111  |       |  193  |  316  |       |
| 08:00 |  1.39 |  3.35 |  4.06 |  4.04 |       |  4.76 |  7.80 |       |   83  |  106  |       |  199  |  311  |       |
| 08:30 |  1.39 |  3.45 |  3.99 |  3.99 |       |  4.80 |  7.99 |       |   85  |  108  |       |  190  |  296  |       |
| 09:00 |  1.38 |  3.45 |  4.48 |  4.48 |       |  4.89 |  7.59 |       |   87  |  103  |       |  257  |  281  |       |
| 09:30 |  1.59 |  3.44 |  4.22 |  4.06 |       |  4.93 |  7.50 |       |   90  |  102  |       |  202  |  276  |       |
| 10:00 |  1.62 |  3.52 |  3.79 |  3.75 |       |  4.90 |  7.06 |       |   91  |  108  |       |  181  |  323  |       |
| 10:30 |  1.58 |  3.52 |  3.77 |  3.77 |       |  5.04 |  7.18 |       |   88  |  103  |       |  176  |  332  |       |
| 11:00 |  1.63 |  3.42 |  3.85 |  3.75 |       |  5.03 |  7.39 |       |   88  |  106  |       |  172  |  322  |       |
| 11:30 |  1.53 |  3.18 |  3.71 |  3.68 |       |  5.02 |  7.37 |       |   88  |  105  |       |  162  |  316  |       |
| 12:00 |  2.13 |  3.35 |  3.69 |  3.69 |       |  5.02 |  7.35 |       |   90  |  106  |       |  235  |  310  |       |
| 12:30 |  1.53 |  3.34 |  3.54 |  3.57 |       |  5.02 |  7.26 |       |   90  |  106  |       |  209  |  317  |       |
| 13:00 |  1.53 |  3.25 |  3.61 |  3.58 |       |  4.75 |  7.52 |       |   90  |   97  |       |  194  |  290  |       |
| 13:30 |  1.93 |  3.45 |  4.23 |  3.92 |       |  4.62 |  7.36 |       |   96  |   99  |       |  188  |  281  |       |
| 14:00 |  1.72 |  3.03 |  3.98 |  3.67 |       |  4.79 |  7.22 |       |   91  |   91  |       |  188  |  301  |       |
| 14:30 |  1.62 |  2.86 |  3.42 |  3.40 |       |  4.58 |  6.78 |       |   91  |  102  |       |  173  |  279  |       |
| 15:00 |  1.59 |       |  9.63 |       |       |       |       |       |       |   93  |       |       |       |       |
| 15:30 |  1.39 |       |  5.64 |  5.40 |       |       |  6.61 |       |       |   93  |       |       |  313  |       |
| 16:00 |  1.49 |  2.06 |  3.81 |  3.75 |       |  4.73 |  6.45 |       |   91  |   93  |       |  232  |  301  |       |
| 16:30 |  1.39 |  2.96 |  3.54 |  3.52 |       |  4.15 |  6.56 |       |   91  |  102  |       |  250  |  270  |       |
| 17:00 |  1.39 |  2.52 |  5.77 |  5.58 |       |       |  6.10 |       |   96  |  106  |       |       |  375  |       |
| 17:30 |  1.52 |  2.17 |  9.31 |       |       |       |       |       |  103  |  103  |       |       |       |       |
| 18:00 |  1.61 |  1.79 |  9.26 |       |       |       |       |       |  117  |  105  |       |       |       |       |
| 18:30 |  1.46 |       |  9.01 |       |       |       |       |       |       |  102  |       |       |       |       |
| 19:00 |  1.42 |       |  5.14 |  3.18 |       |       |  8.07 |       |       |  100  |       |  243  |       |       |
| 19:30 |  1.61 |       |  3.78 |  3.34 |       |       |  8.04 |       |       |   96  |       |  246  |       |       |
| 20:00 |  1.52 |       |  4.46 |  3.31 |       |       |  8.10 |       |       |   96  |       |  247  |       |       |
| 20:30 |  1.61 |       |  4.82 |  2.22 |       |       |  7.64 |       |       |   99  |       |  231  |       |       |
| 21:00 |  1.65 |       |       |       |       |       |  7.33 |       |       |       |       |  223  |       |       |
| 21:30 |  1.56 |       |       |       |       |       |  7.15 |       |       |       |       |  229  |       |       |
| 22:00 |  1.55 |       |       |       |       |       |  6.69 |       |       |       |       |  234  |       |       |
| 22:30 |  1.59 |       |       |       |       |       |  6.11 |       |       |       |       |  252  |       |       |
| 23:00 |  1.76 |       |       |       |       |       |  6.02 |       |       |       |       |  276  |       |       |
| 23:30 |  1.79 |       |       |       |       |       |  6.01 |       |       |       |       |  264  |       |       |
=========================================================================================================================
